profile,first_name,last_name,gender,location,about
https://www.linkedin.com/in/elizabethweil,Elizabeth,Weil,,"Menlo Park, California, United States","Elizabeth Weil believes that passion and pushing boundaries drive success, whether it is investing in founders building with world-changing ideas, transforming a startup into a Fortune 500 company, or running ultramarathons. She is a super-connector, and with her infectious enthusiasm she leaves everyone more energetic than she found them. With more than 2 decades in venture capital and technology companies, Elizabeth is a relationship-driven fund manager and technology investor, startup advisor, and entrepreneur. Her unmatched network provides her access to sought-after investment opportunities. Startups want Elizabeth on their team because she’s known for accelerating their growth: she tirelessly helps her investments with talent intros, fundraising construction and investor introductions, business development and customer introductions, and advice around company culture and employee experience. Previously she was a Managing Director at 137 Ventures, a Partner at Andreessen Horowitz, and an executive at Twitter during a period of hypergrowth as it scaled from 50 to 3000 people. Elizabeth has invested in more than 60 technology companies across all stages, including Slack, Whatnot, SpaceX, Coinbase, Clubhouse, Gusto, Digits, Envoy, Grab, Daily.co, Hipcamp, Titan, and Calm.Elizabeth graduated from Stanford University with a BA in Economics and a Masters in Engineering. In the years since, she has taught classes at Stanford in the engineering department, Graduate School of Business, and the Hasso Plattner Institute of Design. She is also an entrepreneur having started Paperwheel (paperwheel.com), a design and letterpress company. Staying true to her philosophy of living a life full of passion and pushing boundaries, Elizabeth is a competitive ultra-marathon runner, and has run more than 60 marathons. She’s a mom to a LEGO-obsessed 5-year old and 3-year old boy/girl twins, and wife to product executive @kevinweil.Elizabeth is the only investor who also prints personal letterpress stationery for each of her company founders."
https://www.linkedin.com/in/alexisohanian,Alexis,Ohanian Sr.,Male,Miami-Fort Lauderdale Area,I'm a Business Dad.
https://www.linkedin.com/in/davidjli,David,Li,,San Francisco Bay Area,
https://www.linkedin.com/in/matt-holleran-291a773,Matt,Holleran,,"Menlo Park, California, United States","Cloud Apps Capital Partners is an early stage venture capital firm in the cloud business application market.  We lead financings, take board seats, help companies frame their go-to-market strategies, and assist with recruiting to build their executive teams.  Our goal is to help entrepreneurs build global category leading cloud business application companies."
https://www.linkedin.com/in/reidchristian,Reid,Christian,,San Francisco Bay Area,"Early stage tech investor - Automox, Carrot, Checkly, Chromatic, Factorial, Fleet, GreyNoise, Gtmhub, Lokalise, Meilisearch, Postman, Strapi, Squire, Tailscale, Talon, Tinybird, Vercel, Wonderment. +2 unannounced companies."
https://www.linkedin.com/in/heath-lukatch-86a2a,Heath,Lukatch,,"San Francisco, California, United States",
https://www.linkedin.com/in/karahartnetthurst,Kara,Hartnett Hurst,Female,Greater Seattle Area,"I've worked across local & federal government, in the NGO world globally, and run a public-private venture in Silicon Valley during the first wave of tech 1.0 ventures. More recently, my focus has been on driving connections at the intersection of science, consumer products, technology and sustainability. I now lead worldwide sustainability at Amazon which includes all social and environmental issues across our businesses, and leading The Climate Pledge team.  Our  work is to continue to make Amazon the most sustainable company. We're on a path to become net zero carbon by 2040 -  driving Amazon’s circular economy, recycling work, sustainable transportation and electric vehicles, sustainable products and materials and more."
https://www.linkedin.com/in/jim-momtazee-65634918b,Jim,Momtazee,,"Menlo Park, California, United States","Patient Square Capital is a dedicated health care investment firm that will make outstanding investments by partnering with best-in-class management teams whose products, services and technologies improve health. Patient Square leverages its deep and established network to seek opportunities to deploy capital in companies across the broad health care industry with targets including biopharmaceuticals, pharmaceutical value chain, medical devices, diagnostics, providers,  technology-enabled services, digital and consumer health sectors."
https://www.linkedin.com/in/masaya-kawakami-581b6b6b,Masaya,Kawakami,,Singapore,"A performance committed PMO with experience in online service development with skills in both design and business areas. Experience covers: user experience design, business partnership development, pricing and business strategy planning, customer support operations, and new business model establishment."
https://www.linkedin.com/in/ryosukek,Ryosuke,Kimura,,"Yokohama, Kanagawa, Japan","Founder and General Partner @Lifetime Ventures, co-creating with and investing in startups founded by unconventional, earnest talents who are trying to solve global challenges 30 years from now. URL: https://en.lifetime-ventures.com/Partnering with Okinawa Institute of Science and Technology Graduate University (OIST)  to incubate world-class, science-backed startups from Okinawa, Japan, and Asia. URL: https://oist.lifetime-ventures.com/"
https://www.linkedin.com/in/ravishankar-g-v-259423/,Ravishankar,G V,,"Dubai, United Arab Emirates","I am a Managing Director with Sequoia Capital in India and focus on investing in Consumer tech, Consumer, Education and Financial Services opportunities. I am looking to partner with entrepreneurs who are solving large problems and have unique solutions to these problems. I love companies that use technology to solve consumer problems to build large and enduring businesses. I currently serve on the boards of Byjus, Capital Float, Eruditus Learning, Five Star finance, Finova Capital,  Go Fashion (NSE: GOCOLORS), HomeLane,  K12 Technoservices,  Prataap Snacks (NSE: DIAMONDYD), Rebel Foods, Rupeek and Turtlemint. I have also served as board member/observer of companies like Vini Cosmetics,  India Shelter Finance Corporation, Suburban Diagnostics (sold to NSE: LALPATHLAB), Via (sold to NASDAQ: EBIX ), Indigo Paints (NSE: INDIGOPNTS), Manappuram (NSE: MANAPPURAM) and Equitas (NSE: EQUITAS).If you are an entrepreneur with interesting solutions to large consumer/financial/healthcare/education problems and are looking for the right venture capital partner to help you, pl feel free to reach us at Sequoia Capital. We invest across seed, early and growth stages of a business"
https://www.linkedin.com/in/ando-masaaki-2832927b/,Ando,Masaaki,,Japan,
https://www.linkedin.com/in/keisukewada,Keisuke,Wada,,Greater Tokyo Area,
https://www.linkedin.com/in/morgan-kessous-b3b94628,Morgan,Kessous,,"Paris, Île-de-France, France","Investor since 2018, after five years of entrepreneurship and investment banking"
